,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Name,Date
0,288.77,292.0,284.54,290.83,36028600,0.0,0,AAPL,Apple Inc.,2019-12-30
1,289.24,292.98,288.83,292.95,25201400,0.0,0,AAPL,Apple Inc.,2019-12-31
2,295.54,299.89,294.49,299.64,33870100,0.0,0,AAPL,Apple Inc.,2020-01-02
3,296.45,299.87,295.8,296.73,36580700,0.0,0,AAPL,Apple Inc.,2020-01-03
4,293.09,299.25,292.06,299.09,29596800,0.0,0,AAPL,Apple Inc.,2020-01-06
5,299.13,300.19,296.78,297.68,27218000,0.0,0,AAPL,Apple Inc.,2020-01-07
6,296.46,303.72,296.46,302.47,33019800,0.0,0,AAPL,Apple Inc.,2020-01-08
7,306.51,309.7,305.48,308.9,42527100,0.0,0,AAPL,Apple Inc.,2020-01-09
8,309.86,311.93,307.52,309.6,35161200,0.0,0,AAPL,Apple Inc.,2020-01-10
9,310.9,316.32,310.41,316.21,30383000,0.0,0,AAPL,Apple Inc.,2020-01-13
10,315.95,316.82,311.43,311.94,40488600,0.0,0,AAPL,Apple Inc.,2020-01-14
11,311.11,314.75,308.82,310.6,30480900,0.0,0,AAPL,Apple Inc.,2020-01-15
12,312.85,314.95,311.35,314.49,27207300,0.0,0,AAPL,Apple Inc.,2020-01-16
13,315.52,317.99,314.25,317.98,34454100,0.0,0,AAPL,Apple Inc.,2020-01-17
14,316.44,318.26,315.25,315.82,27710800,0.0,0,AAPL,Apple Inc.,2020-01-21
15,317.83,319.23,316.56,316.95,25458100,0.0,0,AAPL,Apple Inc.,2020-01-22
16,317.17,318.8,314.9,318.47,26118000,0.0,0,AAPL,Apple Inc.,2020-01-23
17,319.49,322.56,316.77,317.56,36634400,0.0,0,AAPL,Apple Inc.,2020-01-24
18,309.33,311.03,304.16,308.22,40485000,0.0,0,AAPL,Apple Inc.,2020-01-27
19,311.86,317.65,311.45,316.94,40558500,0.0,0,AAPL,Apple Inc.,2020-01-28
20,323.68,327.07,320.62,323.57,54057300,0.0,0,AAPL,Apple Inc.,2020-01-29
21,319.78,323.32,318.0,323.1,31685800,0.0,0,AAPL,Apple Inc.,2020-01-30
22,320.17,321.92,307.56,308.78,49897100,0.0,0,AAPL,Apple Inc.,2020-01-31
23,303.58,312.75,301.5,307.93,43496400,0.0,0,AAPL,Apple Inc.,2020-02-03
24,314.56,318.88,312.89,318.1,34154100,0.0,0,AAPL,Apple Inc.,2020-02-04
25,322.75,323.99,318.19,320.69,29706700,0.0,0,AAPL,Apple Inc.,2020-02-05
26,321.81,324.45,319.5,324.44,26356400,0.0,0,AAPL,Apple Inc.,2020-02-06
27,322.37,323.4,318.0,320.03,29421000,0.77,0,AAPL,Apple Inc.,2020-02-07
28,314.18,321.55,313.85,321.55,27337200,0.0,0,AAPL,Apple Inc.,2020-02-10
29,323.6,323.9,318.71,319.61,23580800,0.0,0,AAPL,Apple Inc.,2020-02-11
30,321.47,327.22,321.47,327.2,28432600,0.0,0,AAPL,Apple Inc.,2020-02-12
31,324.19,326.22,323.35,324.87,23686900,0.0,0,AAPL,Apple Inc.,2020-02-13
32,324.74,325.98,322.85,324.95,20028400,0.0,0,AAPL,Apple Inc.,2020-02-14
33,315.36,319.75,314.61,319.0,38132800,0.0,0,AAPL,Apple Inc.,2020-02-18
34,320.0,324.57,320.0,323.62,23496000,0.0,0,AAPL,Apple Inc.,2020-02-19
35,322.63,324.65,318.21,320.3,25141500,0.0,0,AAPL,Apple Inc.,2020-02-20
36,318.62,320.45,310.5,313.05,32388500,0.0,0,AAPL,Apple Inc.,2020-02-21
37,297.26,304.18,289.23,298.18,55548800,0.0,0,AAPL,Apple Inc.,2020-02-24
38,300.95,302.53,286.13,288.08,57668400,0.0,0,AAPL,Apple Inc.,2020-02-25
39,286.53,297.88,286.5,292.65,49513700,0.0,0,AAPL,Apple Inc.,2020-02-26
40,281.1,286.0,272.96,273.52,80151400,0.0,0,AAPL,Apple Inc.,2020-02-27
41,257.26,278.41,256.37,273.36,106721200,0.0,0,AAPL,Apple Inc.,2020-02-28
42,282.28,301.44,277.72,298.81,85349300,0.0,0,AAPL,Apple Inc.,2020-03-02
43,303.67,304.0,285.8,289.32,79868900,0.0,0,AAPL,Apple Inc.,2020-03-03
44,296.44,303.4,293.13,302.74,54794600,0.0,0,AAPL,Apple Inc.,2020-03-04
45,295.52,299.55,291.41,292.92,46893200,0.0,0,AAPL,Apple Inc.,2020-03-05
46,282.0,290.82,281.23,289.03,56544200,0.0,0,AAPL,Apple Inc.,2020-03-06
47,263.75,278.09,263.0,266.17,71686200,0.0,0,AAPL,Apple Inc.,2020-03-09
48,277.14,286.44,269.37,285.34,71322500,0.0,0,AAPL,Apple Inc.,2020-03-10
49,277.39,281.22,271.86,275.43,63899700,0.0,0,AAPL,Apple Inc.,2020-03-11
50,255.94,270.0,248.0,248.23,104618500,0.0,0,AAPL,Apple Inc.,2020-03-12
51,264.89,279.92,252.95,277.97,92683000,0.0,0,AAPL,Apple Inc.,2020-03-13
52,241.95,259.08,240.0,242.21,80605900,0.0,0,AAPL,Apple Inc.,2020-03-16
53,247.51,257.61,238.4,252.86,81014000,0.0,0,AAPL,Apple Inc.,2020-03-17
54,239.77,250.0,237.12,246.67,75058400,0.0,0,AAPL,Apple Inc.,2020-03-18
55,247.39,252.84,242.61,244.78,67964300,0.0,0,AAPL,Apple Inc.,2020-03-19
56,247.18,251.83,228.0,229.24,100423300,0.0,0,AAPL,Apple Inc.,2020-03-20
57,228.08,228.5,212.61,224.37,84188200,0.0,0,AAPL,Apple Inc.,2020-03-23
58,236.36,247.69,234.3,246.88,71882800,0.0,0,AAPL,Apple Inc.,2020-03-24
59,250.75,258.25,244.3,245.52,75900500,0.0,0,AAPL,Apple Inc.,2020-03-25
60,246.52,258.68,246.36,258.44,63021800,0.0,0,AAPL,Apple Inc.,2020-03-26
61,252.75,255.87,247.05,247.74,51007500,0.0,0,AAPL,Apple Inc.,2020-03-27
62,1874.0,1884.0,1840.62,1846.89,3674700,0.0,0,AMZN,"Amazon.com, Inc.",2019-12-30
63,1842.0,1853.26,1832.23,1847.84,2506500,0.0,0,AMZN,"Amazon.com, Inc.",2019-12-31
64,1875.0,1898.01,1864.15,1898.01,4029000,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-02
65,1864.5,1886.2,1864.5,1874.97,3764400,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-03
66,1860.0,1903.69,1860.0,1902.88,4061800,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-06
67,1904.5,1913.89,1892.04,1906.86,4044900,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-07
68,1898.04,1911.0,1886.44,1891.97,3508000,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-08
69,1909.89,1917.82,1895.8,1901.05,3167300,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-09
70,1905.37,1906.94,1880.0,1883.16,2853700,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-10
71,1891.31,1898.0,1880.8,1891.3,2780800,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-13
72,1885.88,1887.11,1858.55,1869.44,3440900,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-14
73,1872.25,1878.86,1855.09,1862.02,2896600,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-15
74,1882.99,1885.59,1866.02,1877.94,2659500,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-16
75,1885.89,1886.64,1857.25,1864.72,3997300,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-17
76,1865.0,1894.27,1860.0,1892.0,3707800,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-21
77,1896.09,1902.5,1883.34,1887.46,3216300,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-22
78,1885.11,1889.98,1872.76,1884.58,2484600,0.0,0,AMZN,"Amazon.com, Inc.",2020-01-23
